מְשַׁעְמֵם	mesha'amèm	boring
לְהָטִיל		to cast, throw, lay (eggs)
לְהָנִיעַ		to cause to move, motivate
לִצְבּוֹעַ		to color, to paint
לְשַׁלֵּב		to combine, integrate
לִפְקוֹד		to command, order
לְהִתְאַבֵּד		to commit suicide
לְתַקְשֵׁר		to communicate
לְהַלְחִין		to compose music
לְהִתְעַמֵּת		to confront, face, deal
לְקָרֵר		to cool
לְהַקְדִּישׁ		to dedicate, devote
לְנַתֵּק	lenatèk	to disconnect, cut off, hang up
לְהַבְדִּיל		to distinguish, differentiate
לְהָקֵל		to ease, alleviate
לְחַנֵך		to educate
לְהַדְגִּישׁ		to emphasise, highlight
לְהַעֲסִיק		to employ
לְסַכֵּן		to endanger, risk
לָצוּם		to fast
לְהִידָּבֵק		to get infected
לְהִתְפַּשֵּׁט		to get undressed; spread
לְהִתְחַמֵם		to get warm
לְהַחזִיר		to give back
לְגַדֵּל		to grow, bring up
לְשׂוֹחֵחַ		to have a conversation
לָצוּד		to hunt
לְיַיבֵּא	leyabè	to import
לִרְבּוֹת		to increase, multiple, be numerous
לְעָרֵב		to involve
לְעַצְבֵּן		to irk, irritate, bother, anger
לְהַצְדִיק		to justify
לְהַשְׁאִיל		to lend, loan (thing)
לְהַפְחִית		to lessen, decrease, substract
לְהַאֲזִין		to listen (music, radio)
לְהַכְפִּיל	lehachpìl	to multiply
לְצַייֵּן		to note, indicate, point out, mention
לְהַבְחִין		to notice, spot, distinguish
לְצַוּוֹת		to order, command
לְאַרגֵן		to organise, arrange
לְהַחֲנוֹת		to park (car)
לְטַלְפֵן		to phone, call
לְהַעֲמִיד		to place, position; place upright, erect
לָשׁוּב		to return; do again
לְגַלְגֵּל		to roll
לְהִתְגַלְגֵל		to roll
לְחַבֵּל		to sabotage
לְקַדֵּשׁ		to sanctify
לְהַצִּיל		to save
לְהַפְרִיד		to separate, differentiate
לְקַצֵּר		to shorten
לְעַשֵׁן		to smoke
לַחְטוֹף		to snatch, kidnap
לְהַסְרִיחַ		to stink, smell
לִשְׁבּוֹת		to strike
לְהוֹרוֹת		to teach, lead, instruct
לִבְחוֹן		to test, examine
לְאַייֵּם		to threaten, menace
לִקְשׁוֹר		to tie, bind
לְתַייֵּר		to tour, do sightseeing
לְהַדלִיק		to turn on, switch on
לְאַחֵד		to unite
לְשַׁדְרֵג		to upgrade
לְהַמְתִּין		to wait
לְהָעִיר		to wake up; remark, comment
לְכַבֵּס		to wash, launder
לַעֲטוֹף		to wrap
כבוי		turned off
מִתַחַת לְ-		under, below
תַת-קַרְקָעית		underground (f. adj)
מְשׁוּמָשׁ		used, secondhand
שִׁמוּשִׁי		useful, handy
בִּזְבּוּז		waste
מַעְיָין		water spring
הַגָּדָה המערבית		West Bank
בְּמִסגֶרֶת		within
בִּלְעֲדֵי		without
עֵד		witness
תְּפוּקָה		yield, output, productivity
הָלְאָה		forward, further, away
תָּדִיר	tadìr	frequent
תוֹך כְדֵי		in the process, during, while
תוֹבָנָה		insight, understanding
הֶפְסֵד	hefsèd	loss, damage
לְהַקִּישׁ	lehakìsh	to click, tap
לְהֵירָדֵם	leheradèm	to fall asleep
לְהַנְחוֹת		to guide, lead, instruct
לְהִתְחַבֵּא	lehitchabè	to hide oneself
לַחֲסוֹךְ	lachasòch	to save (money)
צוות מיומן		trained staff
תּוֹקְפָנִי		aggressive
לְצַד		alongside, beside
עֵר		awake
מְאַזֵּן	me'azèn	balance, equilibrium
סוֹלְלָה	solelà	battery
תּוֹעֶלֶת	to'èlet	benefit
שבירה		breaking
עָמוּס		busy
צִבְיוֹן	tzivyòn	character, style
מְאַמֵּן		coach, trainer
מִידַּבֵּק	midabèk	contageous
מְכוּלָה		container
קִיבּוֹלֶת	kibòlet	content, capacity
תְּכוּלָה	tchulà	content, capacity
יוצר		creator
הטייה		declension (noun, adjective)
הריסה		demolition
הַמרָאָה		departure, take off, start
תְלוּת		dependency
מעוצב		designed
מְעַצֵב		designer
סִפְרָה		digit
ספרתי		digital
חָרוּץ	charùtz	diligent
מופרע		disturbed
מוּסָר כָּפוּל		double standard
כָּפוּל	kafùl	double, multiplied, times
הורדה		download
לבוש		dressed
מַשׁקֶה		drink, beverage
נהוג		driven
אכיל		edible
עריכה		editing
מְחַנֵך		educator
שַׁגְרִיר	shagrìr	embassador
קסום		enchanted
מַעֲשִׁיר	ma'ashìr	enriching
הִתְלַהֲבוּת		enthusiasm
מִשְׁוָוֹאָה	mishva'à	equation
דְּרַגְנוֹעַ		escalator
ירוק עד		evergreen
רוֹעַ		evil (noun)
מְרוּשָּׁע		evil, wicked, offensive
החלפה		exchange
לְמַעֵט		excluding, except
תּוֹחֶלֶת	tochèlet	expectancy
יְצוּא		export
יְצוּאָן	yetzuàn	exporter
חָשׂוּף	chasùf	exposed
חשיפה		exposure
בְּהַרְחָבָה		extensively
נְפִילָה		fall, collapse
חַווָּה		farm
בִּדְיוֹן		fiction
בדיוני		fictional
מריבה		fight
מַסְנֵן	masnèn	filter
גְּמָר		final, done
לְבָסוֹף		finally
כספי		financial
מִימּוּן	mimùn	financing
סוֹפִי		finite
שריפה		fire
כבאית		fire truck
מועדון הכושר		fitness club
מישורי		flat, plane (adj.)
מוּצָף		flooded, overwhelmed
מְעוֹפֵף	me'ofèf	flying
מַאֲכָל		food
לְמַעַן הַשֵּׁם		for God's sake
לְמַעַן	lemàan	for the sake of, with the intent
רָעֲנָן		fresh
יְדִידוּתִי		friendly
ידידות		friendship
עצבני		furious
כפפה		glove
חִינָּנִי		graceful
מוּבחָר		hand-picked, elite, premium, luxurious
תלייה		hanging
מִפקָדָה		headquarters
מְהַגֵר		immigrant
נִפגָע		injured (noun)
פְּצִיעָה		injury
פְּגִיעָה		injury, harm, damage, hit, violation
תמימות		innocence
תמים		innocent
קֶלֶט	kèlet	input
מוּתְקָן		installed
עֶרְכָּה	erkà	kit, set
אֶמֶשׁ		last night
אוֹרַח חיים		lifestyle
נוֹעָד		meant for, destined, intended
מדידה		measurement
תִּיוּוּךְ	tivùch	mediation
חוסר התאמה		mismatch, discrepancy
מוּרְגָשׁ		noticeable, felt
מְמוּספָּר		numbered
תלבושת		outfit
צַבָּעִי		painter
פִּסקָה		paragraph
תוּכִּי		parrot
מַעֲבַר חֲצִייָה		pedestrial crossing
בִּיצּוּעִים	bitzu'ìm	performance
נִיצָּב	nitzàv	perpendicular
כּוֹכַב לֶכֶת		planet (lit. walking star)
תַּקְדִּים	takdìm	precedent
סַדֵּר הָעֲדִיפוּיּוֹת		priorities
עֲדִיפוּת		priority
בית הוֹצָאָה לאור		publishing house
טָהוֹר		pure
מֵרוֹץ		race
דַּרְגָּה	dargà	rank (mil.), degree, grade
דֵירוּג		rating, ranking
כּוֹנְנוּת		readiness, alertness
תקליט		record
שִׁיקוּם		rehabilitation
שִׁיבָה		return
שְׂבִיעוּת רָצוֹן		satisfaction
דָּפוּק		screwed up, messed up
פַּס גלילה		scroll bar
הֶלֶם		shock
הָמוּם	hamùm	shocked, stunned
הֲזָזָה		sliding, moving
ריח		smell
בְּהֶקְדֵּם		soon
מעבורת חָלָל		space shuttle
רִיבּוּעַ		square (noun)
תקני		standard
תֶּקֶן	tèken	standard, norm
חַשְׂפָנוּת	chasfanùt	striptease
כְּגוֹן		such as, like
מִשׁטָח		surface
מִתְקֶפֶת הַפֶּתַע		surprise attack
כְּנִיעָה	kni'à	surrender
מוּקָף		surrounded, encircled
הִישָּׂרְדוּת	hisardùt	survival
הִישָּׂרְדוּת החזקים		survival of the fittest
נִיצּוֹל		survivor
טוֹבְעָנִי		swampy, marshy
לְצַרֵף		to attach
לֶאֱפוֹת		to bake
לְהִתְעַצְבֵּן		to became annoyed or irritated, get angry
לִבְגּוֹד		to betray, cheat on (ב-)
לְבָרֵךְ		to bless, greet
לְהִשְׁתַּנוֹת		to change oneself
לְאַפְייֵן		to characterize
לְהַבְהִיר		to clarify
לְהַדְגִּים		to demonstrate, illustrate
לִפְרוֹס	lifròs	to deploy; spread, stretch out
לְהִתְגָרֵש		to divorce
לְתַעֵד		to document
לְהַפִּיל		to drop; have an abortion
לְכַיֵּיף		to enjoy oneself, have a good time
לְרַגֵש		to excite
לְגָרֵשׁ		to expel, banish
לָפוּג	lafùg	to expire
להגיש תלונה		to fill complaint
לְפַטֵּר		to fire, lay off, dismiss
לִנְפּוֹשׁ		to go on vacation
לִתְלוֹת		to hang
לִרְמוֹז	lirmòz	to hint, indicate
לִקְפּוֹא		to ice over, freeze, be frostbitten
לְהִתְעַלֵּם		to ignore
לְהַגֵר		to immigrate
לְיַישֵּׂם	leyasèm	to implement, apply
לַחְסוֹר		to lack, diminuish
לְהַעֲמִיס		to load
לְאַתֵּר		to locate, localize
לְהַנְמִיךְ		to lower, diminuish
לְאַפְשֵׁר		to make possible, enable, let
לְווַדֵא		to make sure, verify
לְאַיֵּישׁ		to man, staff
לְשַׁווֵּק		to market
לְתַווֵּךְ		to mediate
לְהַשְׁקִיף		to observe (from high place)
לְהִתְבּוֹנֵן		to observe, watch, examine
לְמַמֵּשׁ		to realize, make reality
לִמְרוֹד		to rebel, revolt
לְהַבְרִיא		to recover (from illness)
לְשַׁחְרֵר	leshachrèr	to release, free
לְהִתְפַּטֵּר		to resign, quit
לִשְׁדּוֹד		to rob, plunder, steal
לִמְסוֹר		to send (a message), transfer, deliver
לְשַׁגֵּר		to send, dispatch; launch (a rocket)
לְקַלֵּחַ		to shower, wash smb.
לִטְבּוֹעַ	litbòa	to sink, drown; mint
לִמְתּוֹחַ		to stretch
לִסְבּוֹל		to suffer; bear, tollerate
לְהִיכָּנֵעַ	lehikanèa	to surrender, give up
לְהַקְלִיט		to tape, record
לִטעוֹם		to taste
לָתֵת תוֹקֶף		to validate
פָּעוֹט	pa'òt	toddler
נִסְבָּל		tolerable
פִּסְגָּה		top (abstract); summit
קָרוּעַ	karùa	torn
מֶרְחָק שֶׁעָבָר		traveled (past) distance
תחתונים		underpants
גוּפִייָה		undershirt
אָחִיד		uniform, homogeneous
ייחודי		unique
שׁוֹאֵב אָבָק		vacuum cleaner (lit. dust pumper)
תָּקֵף	takèf	valid
אִימּוּת	imùt	validation, verification
צמחוני		vegetarian
פְּסָק		verdict, decision
מְאוּמָת		verified
פָּגִיעַ		vulnerable
ניסוח		wording, drafting
בְּבַת אַחַת		at once
מְצוֹרָף	metzoràf	attached (to email)
מתחת לפני השטח		beneath the surface
בְּבִירוּר		clearly, obviously
מוּדָעוּת הצַרְכָנִים		consumer awareness
מְהַנֶה		enjoyable
מַעֲטָפָה	ma'atafà	envelope
שער חליפין		exchange rate
באיזו תדירות		how often
בְּאֵיזוֹ תְּכִיפוּת		how often
מְקוָּוּן	mekuvàn	online
מִפְרָט		specifications
מִשְׁאָלָה	mish'alà	wish
אִיחוּל	ichùl	wish, greeting
בְּהֶתְאֵם		accordingly, depending on
הֶיכֵּרוּת		acquaintance
מַכָּר		acquaintance
רָאשֵׁי תֵיבוֹת		acronym
מאומץ		adopted
אימוץ		adoption
במבט חטוף		at a glance
פַּעֲמוֹן		bell, doorbell
סַפְסָל		bench
תַּקְצִיב	taktzìv	budget
מֵאֵלָיו		by itself
מַחְמָאָה		compliment
מַלְחִין		composer
הִיוָּוֹצְרוּת	hivatzrùt	creation, formation
תַנִין		crocodile
אַכְזָרִי	achzarì	cruel, brutal
גור		cub
יִיעוּדִי	i'udi	dedicated. special, purpose-build
מוגדר		defined
הַדגָמָה		demonstration, illustration
הֲפָצָה		distribution
טְבִיעָה		drown
סִיוֹמֶת		ending, suffix
הָזֵן קלט		enter input!
יוזמה		enterprise
תְּפוּגָה		expiration
תאריך תְּפוּגָה		expiration date
פג תּוֹקֶף		expired
מְפוֹרָשׁ		explicit
בִּמְפוֹרָשׁ		explicitly
פִּיצּוּץ	pitzùtz	explosion
נופל		fallen (in a war)
גָּמִישׁ	gamìsh	flexible
מִזְרָקָה	mizrakà	fountain
שׁוּעָל		fox
פַּטִּישׁ		hammer
סוּלָם		ladder
כָּל שֶׁכֵּן		let alone, not to mention
מוֹתָרוֹת		luxury
קָצִין		military officier
צַר		narrow
מִישׁוֹר		plane (geom.)
תַּעֲנוּג		pleasure, delight
קדם-הפצה		pre-release
דֵעָה קְדוּמָה		prejudice
כֵּלֵא		prison
פרטיות		privacy
טַיֶילֶת		promenade
קִרְבָה		proximity
בֵּית מֶרחָץ		public bath
מַשְׁאֵבָה	mash'evà	pump
חִידָה		puzzle, riddle
שִׁיחְזוּר		reconstruction
תַּרְחִישׁ	tarchìsh	scenario
תַּסְרִיט	tasrìt	screenplay
סְעִיף		section, article, clause
תוכנית ההתקנה		setup, installer
תופעות לוואי		side effects
תָּמ		sincere, innocent, honest; naive
ריבוני		sovereign
רִבּוֹנוּת		sovereignty
חֲלָלִית		spaceship
צוֹלֶלֶת		submarine (she dives)
חָשׁוּד		suspect
חֲשָׁד		suspicion
לְרַכֵּז		to assemble, concentrate
לְהַרְכִּיב		to assemble, put together
לִרְדּוֹף	lirdòf	to chase
לִקרוֹס		to collapse
לְשַׁכְפֵּל		to duplicate, copy
לְהַגְזִים		to exaggerate
לְקַשְׁקֵשׁ		to have a smalltalk
לְרַפֵּא		to heal, cure someone
לְהַחְלִים		to heal, recover (from illness)
לְהִסְתַּתֵּר		to hide (oneself)
לִיזוֹם		to initiate
לִדְפּוֹק		to knock
לְהַתִּיךְ		to melt metal
לְכַנוֹת		to name
לָטַעַת		to plant (a tree)
לְהַרְעִיל		to poison
לִפְרוֹשׁ		to quit, retire, withdraw
לְשַׁקֵּף		to reflect
לְשַׁפֵּץ		to renovate
לִזעוֹק		to scream, cry
לְכַהֵן		to serve as, hold office
לְהִתְגַּלֵּשׁ		to slide (playground)
לְהָרִיחַ		to smell
להישאר עֵר		to stay awake
לְהַשְׁבִּית		to stop working, strike
לִזְרוֹם		to stream, flow
לְסַכֵּם		to summarize, conclude
לְהַקִּיף		to surround, encircle
לִפְרוֹק		to unpack, unload
לָסֶגֶת	lasèget	to withdraw, retreat
פְּקָק		traffic jam; cork
שִׁדְרוּג		upgrade
תְּשׂוּאָה		yield, return of investment
מַעֲשִׂייָה		fairy tale
עיקר וטפל		main and secondary blessing (relig.)
מְתוֹאָם		coordinated
תֵּיאוּם		coordination
לִצְבּוֹר		to accumuate, amass
לְתָאֵם		to coordinate
עָטוּף		wrapped
מִסְדְּרוֹן	misderòn	corridor
עַל מְנָת		in order to
עד כה		so far
שְׁאִיפָה		ambition, inspiration, inhalation
הַשְׁרָאָה		inspiration
